iter	Passed	Remaining
0	1	125
1	2	106
2	2	94
3	3	91
4	4	88
5	5	85
6	6	83
7	7	81
8	7	80
9	8	77
10	9	75
11	10	74
12	11	74
13	11	72
14	12	71
15	13	70
16	14	69
17	15	68
18	15	67
19	16	66
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	28	51
36	29	50
37	30	49
38	31	48
39	32	48
40	32	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	41
47	37	41
48	38	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	36
54	42	34
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	27
65	51	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
